Name,Latent_feature
RID_1001001041_20190605_152102_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.53001857  0.05481988 -0.15433356 ... -0.4366111  -0.13602802
 -0.09434163]"
RID_1001006953_20171103_162331_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.63145435  0.30249    -0.1453484  ... -0.36907956 -0.10298891
 -0.22516501]"
RID_1001005372_20190726_163812_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.56240964  0.11859169 -0.1285486  ... -0.5185809  -0.08984468
 -0.31245962]"
RID_1001000617_20190812_154023_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.58627087  0.06799284 -0.15425348 ... -0.4680596  -0.12140312
 -0.30897573]"
RID_1001000585_20190521_164622_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.54175985 -0.00359307 -0.19368942 ... -0.38165212 -0.12016033
 -0.20109627]"
RID_1001001130_20180522_154512_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.64201725  0.1142923  -0.12720445 ... -0.4673874  -0.14781626
 -0.5624627 ]"
RID_1001000177_20170803_162729_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.67502946  0.30956835 -0.16240968 ... -0.41870198 -0.09040278
 -0.47162297]"
RID_1001005811_20190910_165757_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.5262767   0.22953303 -0.15174049 ... -0.26731852 -0.10324942
 -0.37586746]"
RID_1001000177_20170803_162003_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.49099088  0.05685233 -0.17853586 ... -0.2859067  -0.02640494
 -0.2950354 ]"
RID_1001007670_20190709_154342_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.67884505  0.19856946 -0.17683627 ... -0.40961838 -0.13359687
 -0.36587557]"
RID_1001000001_20181231_155031_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.56739765 -0.01040793 -0.06735344 ... -0.4200316  -0.10620211
 -0.7315979 ]"
RID_1001000457_20190820_154607_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.7056578   0.17192557 -0.14345336 ... -0.5294226  -0.09458415
 -0.50228703]"
RID_1001007923_20180417_162800_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.5637262   0.09094371 -0.18234694 ... -0.23189886 -0.06874789
 -0.198513  ]"
RID_1001004476_20190522_165641_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.5916254  -0.09324291 -0.16433951 ... -0.52518773 -0.1681095
 -0.2557237 ]"
RID_1001000403_20180410_170435_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.4890671   0.16446243 -0.1244972  ... -0.43248755 -0.1743826
 -0.4481214 ]"
RID_1001005811_20190910_165757_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.6753502   0.34752968 -0.1255857  ... -0.29432207 -0.22253598
 -0.39135805]"
RID_1001004517_20190910_153005_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.47148946  0.24167602 -0.15433113 ... -0.27135032 -0.31738195
 -0.57053417]"
RID_1001000457_20190820_154607_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.7033941   0.24562679 -0.10154385 ... -0.53754425 -0.09266616
 -0.42261457]"
RID_1001000177_20170803_162729_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.6185402   0.278894   -0.1625382  ... -0.3751081  -0.10930672
 -0.43125665]"
RID_1001000177_20170803_162729_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.50719875  0.06836314 -0.17322487 ... -0.26261088  0.00111173
 -0.21994554]"
